amount,text,count_adults,count_children,start_date,nights,price_per_day,remarks
2,Ищем жильё рядом с морем . На 2 взрослого..конец июля начало августа .. на 10 дней. 1000-1500₽,2.0,,31.07,10,1500.0,Жильё рядом с морем
4,"Здравствуйте, интересует жилье,с 18 августа по 24 ,два взрослых,и дети 3 года и 4 месяца?",2.0,2.0,18.08,6,,
6,"Добрый день! Ищем жильё в п.Лазаревская с 5.09 по по 17.09  4 взрослых и два ребёнка.
Ждём предложения в л.с.",4.0,2.0,05.09,12,,
2,Здравствуйте! Интересует жилье с 11 по 22 августа. Один взрослый и ребенок.,1.0,1.0,11.08,11,,
3,Здравствуйте. Интересует жилье 3 местный номер.с20 .06 по 28.06 не далеко от моря.,3.0,,20.06,8,,не далеко от моря
3,Добрый вечер. Ищем жилье с 17.08 на 10 дней. Желательно с бассейном. 2е взрослых и ребенок 5 лет,2.0,1.0,17.08,10,,Желательно с бассейном
4,Здравствуйте! Интересует жилье недорого 1-10 сентября.2 взр и 2 детей-1 номер нужен.В ЛС.,2.0,2.0,01.09,10,,
2,"Здравствуйте🤗
Ищем жильё в центре рядом с морем🌊
Цена за номер до2️⃣0️⃣0️⃣0️⃣руб с удобствами 🚿
Приезжаем парой с 10 августа по 18 августа 📆",2.0,,10.08,8,20000.0,Жильё в центре рядом с морем
2,"здравствуйте. с 24 июля по 1 августа ищем жилье для 2-х взрослых эконом. стоимость подскажите, пожалуйста?",2.0,,24.07,8,,эконом
3,ищем жилье на 10 дней с 25 июля по 4-5 августа на 3 человек,3.0,0.0,25.07,10,,
4,Ищем жильё с 4.07.на 20 дней. 2 взрослых и 2 детей,2.0,2.0,04.07,20,,
4,Здравствуйте. Ищем жилье с 27.06 по 5.07 на 4 человека (1 взрослая пара и мама с ребенком 6 лет).Недалеко от пляжа. Предложения в личку.,2.0,1.0,27.06,8,,Недалеко от пляжа
5,"Ищем жильё  . 2 взрослых, трое детей( 2 г, 5 лет , 8 лет).не далеко от моря , анимация ( было бы отлично), желательно бассейн, детская площадка.  Период с 10 августа по 22-23 августа. Не больше 3500 т за сутки",2.0,3.0,10.08,12,3500.0,"не далеко от моря , анимация ( было бы отлично), желательно бассейн, детская площадка"
1,Здравствуйте. Ищем жильё в период с 26 мая по 14 июня. Рядом с санаторием Бирюза. На одного человека и две маленькие собачки.,1.0,0.0,26.05,19,,Рядом с санаторием Бирюза; два маленьких питомца
3,"ищем жилье с 8-20 августа с бассейном 3мест номер ,до моря не дольше 10мин, не в гору",,,08.08,12,,"с бассейном, до моря не дольше 10 мин, не в гору"
